 	Area	X	Y	Slice
559	122	474.852	461.754	1
560	121	416.822	146.897	1
561	138	444.986	237.601	1
562	145	282.293	257.500	1
563	149	78.252	303.963	1
564	112	473.812	330.804	1
565	135	372.056	334.048	1
566	127	427.429	400.161	1
567	137	112.595	405.507	1
568	124	236.887	452.210	1
569	123	473.890	456.744	1
570	106	412.934	148.491	1
571	130	445.654	235.231	1
572	136	285.051	256.191	1
573	149	75.936	300.936	1
574	100	472.760	329.170	1
575	123	370.980	340.923	1
576	120	425.108	399	1
577	125	114.636	411.668	1
578	106	233	453.642	1
579	104	474.163	456.250	1
580	99	409.924	150.561	1
581	129	449.702	238.298	1
582	137	289.609	252.274	1
583	146	73.267	297.678	1
584	90	475.011	331.933	1
585	119	368.038	339.139	1
586	114	424.351	395.965	1
587	126	113.873	404.063	1
588	107	229.762	450.285	1
589	103	478.888	451.325	1
590	118	412.492	152.975	1
591	138	452.391	236.507	1
592	144	291.778	250.486	1
593	149	75.822	300.366	1
594	108	471.481	332	1
595	128	363.766	337.570	1
596	121	420.806	397.541	1
597	136	115.426	400.022	1
598	115	230.883	452.726	1
599	112	479.098	453.991	1
600	121	406.161	155.087	1
601	141	455.365	235.578	1
602	148	292.088	248.986	1
603	151	76.255	304.109	1
604	116	467.336	327.681	1
605	139	371.435	336.068	1
606	129	421.066	394.717	1
607	142	108.704	396.500	1
608	127	233.256	456.713	1
609	126	480.325	458.643	1
610	111	408.320	151.770	1
611	138	454.254	242.051	1
612	140	286.071	247.479	1
613	146	76.938	303.212	1
614	105	467.986	327.738	1
615	128	375.445	338.078	1
616	123	422.183	394.459	1
617	139	108.025	397.414	1
618	121	232.764	452.798	1
619	111	482.977	462.671	1
620	99	408.146	151.308	1
621	136	282.096	240.507	1
622	131	454.546	244.546	1
623	142	79.824	294.739	1
624	91	469.533	331.049	1
625	117	378.816	340.697	1
626	129	107.934	396.562	1
627	109	424.445	401.601	1
628	102	235.353	456.029	1
629	98	489.888	465.418	1
630	107	406.107	149.117	1
631	139	284.399	235.349	1
632	136	455	246.721	1
633	145	81.438	292.314	1
634	101	465.213	334.926	1
635	125	380.724	340.196	1
636	130	109.685	395.531	1
637	120	422.225	397.825	1
638	113	233.748	456.624	1
639	109	489.188	470.849	1
640	123	402.744	149.321	1
641	145	285.879	229.390	1
642	142	455.859	248.465	1
643	151	82.030	295.308	1
644	112	462.625	338.018	1
645	139	378.924	339.658	1
646	128	419.953	395.586	1
647	136	112.463	397.449	1
648	124	234.718	460.927	1
649	124	487.508	469.629	1
650	122	405.902	149.172	1
651	143	283.570	224.983	1
652	141	459.521	247.564	1
653	150	78.767	298.707	1
654	132	377.773	337.402	1
655	107	464.173	341.407	1
656	129	417.733	396.229	1
657	134	110.284	399.679	1
658	125	236.260	456.556	1
659	118	485.814	470.398	1
660	102	404.235	151.686	1
661	133	289.064	219.162	1
662	130	456.854	250.438	1
663	145	75.155	301.638	1
664	120	378.517	336.033	1
665	90	466.811	343.989	1
666	128	107	398.391	1
667	114	421.895	398.632	1
668	105	233.643	461.805	1
669	100	486.260	474	1
670	100	409.860	149.820	1
671	139	290.212	219.601	1
672	132	458.333	248.758	1
673	135	80.937	298.522	1
674	118	377.661	335.839	1
675	88	469.102	348.034	1
676	116	426.284	397.207	1
677	126	105.627	403.095	1
678	102	237.824	471.539	1
679	100	483.340	474.810	1
680	120	411.625	149.992	1
681	142	290.310	219.359	1
682	139	460.450	252.140	1
683	155	81.223	293.913	1
684	132	376.205	336.220	1
685	104	466.837	344.462	1
686	131	429.660	396.569	1
687	134	106.187	403.784	1
688	118	246.263	472.873	1
689	118	481.754	476.051	1
690	131	411.363	156.057	1
691	145	294.700	220.314	1
